nodes,ave_mcmc,risk_mcmc_mean,credible_interval_mcmc,risk_mcmc_hpd,ave_hmc,risk_hmc_mean,credible_interval_hmc,risk_hmc_hpd,total_risk
3549,0.8886392353457662,1.0,[0.99651307 0.99999911],1.0,0.9741097968135688,1.0,[0.99913416 1.        ],1.0,1.0
3561,0.9621873282313672,1.0,[0.85828491 0.99995606],1.0,0.9920235202312467,1.0,[0.95221411 1.        ],1.0,1.0
3701,0.9152528218560532,1.0,[0.39750089 0.99996361],3.0,0.9806269884038133,1.0,[0.58249995 1.        ],3.0,2.0
3741,0.9806144201415116,1.0,[0.8025103  0.98454076],2.0,0.9958130501804499,1.0,[0.821478   0.98744521],2.0,2.0
3786,0.987507999934219,1.0,[0.87837314 0.99995458],1.0,0.9975888960373857,1.0,[0.96209271 1.        ],1.0,1.0
3910,0.886172772604021,1.0,[0.65487122 0.99989009],2.0,0.97489199202446,1.0,[0.85081487 1.        ],1.0,2.0
4134,0.9404728924762877,1.0,[0.9395106  0.99999891],1.0,0.9858147364516412,1.0,[0.97394986 1.        ],1.0,1.0
4181,0.9658166286216108,1.0,[0.86666296 0.99993909],1.0,0.9936781012718557,1.0,[0.95520011 1.        ],1.0,1.0
4230,0.7419439220033346,2.0,[0.62024703 0.99994186],2.0,0.9191432681490412,1.0,[0.83030025 1.        ],2.0,2.0
4323,0.8671437185841074,1.0,[0.2273462  0.99976451],3.0,0.9655039039277751,1.0,[0.34346962 1.        ],3.0,2.0
4608,0.6608601849673774,2.0,[0.87992779 0.99997808],1.0,0.8584697274407045,1.0,[0.96288927 1.        ],1.0,1.0
4637,0.6545783180584768,2.0,[0.9600588  0.99999113],1.0,0.8535044723644809,1.0,[0.98691908 1.        ],1.0,1.0
4657,0.9603055264948848,1.0,[0.82580216 0.99996171],2.0,0.9921602729092162,1.0,[0.93813753 1.        ],1.0,2.0
4713,0.8868473699078198,1.0,[0.72979104 0.99999029],2.0,0.9734184012853847,1.0,[0.88997952 1.        ],1.0,2.0
4739,0.9989844392569953,1.0,[0.87337171 0.99997541],1.0,0.9998769301509418,1.0,[0.95752023 1.        ],1.0,1.0
