peer|prefix|path|rfd|mis_rec_ratio|path-with-links|path-with-agg-links
187.16.222.107|45.132.190.0/24|('263152', '264556', '28263', '6939', '31027', '44869', '58360')|False|0.04597701149425287|(('263152', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '31027'), ('31027', '44869'), ('44869', '58360'))|('263152c2p', '264556c2p', '28263c2p', '6939p2p', '31027p2c', '44869p2c')
187.16.222.107|45.132.190.0/24|('263152', '28329', '1299', '31027', '44869', '58360')|False|0.008620689655172414|(('263152', '28329'), ('28329', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('263152c2p', '28329c2p', '1299p2c', '31027p2c', '44869p2c')
187.16.222.107|45.132.190.0/24|('263152', '28329', '3356', '1299', '31027', '44869', '58360')|False|0.27586206896551724|(('263152', '28329'), ('28329', '3356'), ('3356', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('263152c2p', '28329c2p', '3356p2p', '1299p2c', '31027p2c', '44869p2c')
187.16.222.160|147.28.50.0/24|('263945', '22548', '58364')|False|0.007183908045977011|(('263945', '22548'), ('22548', '58364'))|('263945p2p', '22548p2c')
187.16.222.221|147.28.34.0/24|('263009', '3356', '2497', '58361')|False|0.0028735632183908046|(('263009', '3356'), ('3356', '2497'), ('2497', '58361'))|('263009None', '3356p2c', '2497p2c')
187.16.222.221|147.28.34.0/24|('263009', '3356', '701', '2497', '58361')|False|0.48563218390804597|(('263009', '3356'), ('3356', '701'), ('701', '2497'), ('2497', '58361'))|('263009None', '3356p2p', '701p2c', '2497p2c')
187.16.222.221|147.28.38.0/24|('263009', '174', '2914', '3130')|False|0.33045977011494254|(('263009', '174'), ('174', '2914'), ('2914', '3130'))|('263009c2p', '174p2p', '2914p2c')
187.16.222.221|147.28.38.0/24|('263009', '3356', '1239', '3130')|False|0.020114942528735632|(('263009', '3356'), ('3356', '1239'), ('1239', '3130'))|('263009None', '3356p2p', '1239p2c')
187.16.222.221|147.28.38.0/24|('263009', '3356', '2914', '3130')|False|0.021551724137931036|(('263009', '3356'), ('3356', '2914'), ('2914', '3130'))|('263009None', '3356p2p', '2914p2c')
187.16.222.221|147.28.42.0/24|('263009', '174', '2914', '63528', '58362')|False|0.125|(('263009', '174'), ('174', '2914'), ('2914', '63528'), ('63528', '58362'))|('263009c2p', '174p2p', '2914p2c', '63528p2c')
187.16.222.221|147.28.42.0/24|('263009', '3356', '2914', '63528', '58362')|False|0.07327586206896551|(('263009', '3356'), ('3356', '2914'), ('2914', '63528'), ('63528', '58362'))|('263009None', '3356p2p', '2914p2c', '63528p2c')
187.16.222.221|147.28.42.0/24|('263009', '6762', '2914', '63528', '58362')|False|0.22270114942528735|(('263009', '6762'), ('6762', '2914'), ('2914', '63528'), ('63528', '58362'))|('263009c2p', '6762p2p', '2914p2c', '63528p2c')
187.16.222.221|147.28.46.0/24|('263009', '174', '37100', '58363')|False|0.041666666666666664|(('263009', '174'), ('174', '37100'), ('37100', '58363'))|('263009c2p', '174p2c', '37100p2c')
187.16.222.221|147.28.46.0/24|('263009', '3356', '37100', '58363')|False|0.30028735632183906|(('263009', '3356'), ('3356', '37100'), ('37100', '58363'))|('263009None', '3356p2c', '37100p2c')
187.16.222.221|147.28.46.0/24|('263009', '3356', '6453', '37100', '58363')|False|0.34195402298850575|(('263009', '3356'), ('3356', '6453'), ('6453', '37100'), ('37100', '58363'))|('263009None', '3356p2p', '6453p2c', '37100p2c')
187.16.222.221|147.28.46.0/24|('263009', '6762', '37100', '58363')|False|0.014367816091954023|(('263009', '6762'), ('6762', '37100'), ('37100', '58363'))|('263009c2p', '6762p2c', '37100p2c')
187.16.222.221|147.28.50.0/24|('263009', '174', '3356', '3549', '22548', '58364')|False|0.08620689655172414|(('263009', '174'), ('174', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('263009c2p', '174p2p', '3356p2c', '3549p2c', '22548p2c')
187.16.222.221|147.28.50.0/24|('263009', '3356', '3257', '16735', '22548', '58364')|False|0.09195402298850575|(('263009', '3356'), ('3356', '3257'), ('3257', '16735'), ('16735', '22548'), ('22548', '58364'))|('263009None', '3356p2p', '3257p2c', '16735p2c', '22548p2c')
187.16.222.221|147.28.50.0/24|('263009', '3356', '3549', '22548', '58364')|False|0.022988505747126436|(('263009', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('263009None', '3356p2c', '3549p2c', '22548p2c')
187.16.222.221|147.28.50.0/24|('263009', '6762', '3356', '3549', '22548', '58364')|False|0.05172413793103448|(('263009', '6762'), ('6762', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('263009c2p', '6762p2p', '3356p2c', '3549p2c', '22548p2c')
187.16.222.221|147.28.50.0/24|('263009', '6762', '3549', '22548', '58364')|False|0.21982758620689655|(('263009', '6762'), ('6762', '3549'), ('3549', '22548'), ('22548', '58364'))|('263009c2p', '6762p2p', '3549p2c', '22548p2c')
187.16.222.221|147.28.54.0/24|('263009', '174', '1299', '5539', '58365')|False|0.45545977011494254|(('263009', '174'), ('174', '1299'), ('1299', '5539'), ('5539', '58365'))|('263009c2p', '174p2p', '1299p2c', '5539p2c')
187.16.222.221|147.28.54.0/24|('263009', '174', '2914', '5539', '58365')|False|0.3922413793103448|(('263009', '174'), ('174', '2914'), ('2914', '5539'), ('5539', '58365'))|('263009c2p', '174p2p', '2914p2c', '5539p2c')
187.16.222.221|147.28.54.0/24|('263009', '3356', '1299', '5539', '58365')|False|0.24281609195402298|(('263009', '3356'), ('3356', '1299'), ('1299', '5539'), ('5539', '58365'))|('263009None', '3356p2p', '1299p2c', '5539p2c')
187.16.222.221|147.28.54.0/24|('263009', '3356', '21385', '5539', '58365')|False|0.40660919540229884|(('263009', '3356'), ('3356', '21385'), ('21385', '5539'), ('5539', '58365'))|('263009None', '3356p2c', '21385p2c', '5539p2c')
187.16.222.221|147.28.54.0/24|('263009', '3356', '33891', '5539', '58365')|False|0.02586206896551724|(('263009', '3356'), ('3356', '33891'), ('33891', '5539'), ('5539', '58365'))|('263009None', '3356p2c', '33891p2c', '5539p2c')
187.16.222.221|147.28.54.0/24|('263009', '6762', '2914', '5539', '58365')|False|0.4367816091954023|(('263009', '6762'), ('6762', '2914'), ('2914', '5539'), ('5539', '58365'))|('263009c2p', '6762p2p', '2914p2c', '5539p2c')
187.16.222.221|45.132.190.0/24|('263009', '174', '1299', '31027', '44869', '58360')|False|0.20977011494252873|(('263009', '174'), ('174', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('263009c2p', '174p2p', '1299p2c', '31027p2c', '44869p2c')
187.16.222.221|45.132.190.0/24|('263009', '3356', '1299', '31027', '44869', '58360')|False|0.02586206896551724|(('263009', '3356'), ('3356', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('263009None', '3356p2p', '1299p2c', '31027p2c', '44869p2c')
187.16.222.221|45.132.190.0/24|('263009', '6762', '1299', '31027', '44869', '58360')|False|0.10632183908045977|(('263009', '6762'), ('6762', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('263009c2p', '6762p2p', '1299p2c', '31027p2c', '44869p2c')
